id,new_date,y0,y1,y2,y3
lido-dao,2025-12-27,,1.8832635879516602,2.562847375869751,1.0403739213943481
lido-dao,2025-12-28,,1.8446286916732788,2.87221360206604,0.9670178294181824
lido-dao,2025-12-29,,1.812612771987915,2.704615592956543,0.9526854157447815
lido-dao,2025-12-30,,1.861162543296814,2.8522467613220215,0.9563527703285217
lido-dao,2025-12-31,,1.834130048751831,2.7289721965789795,0.9580081701278687
lido-dao,2025-01-01,1.7540252208709717,2.793276071548462,,
lido-dao,2025-01-02,1.8635280132293701,3.004403829574585,1.2319576740264893,
lido-dao,2025-01-03,1.903262972831726,3.104297161102295,1.2240091562271118,
raydium,2025-01-04,5.496427059173584,1.4276083707809448,0.1605253517627716,
raydium,2025-01-05,5.649234294891357,1.3532805442810059,0.15139412879943848,
raydium,2025-01-06,5.677235126495361,1.250211477279663,0.14895889163017273,
raydium,2025-01-07,,1.2199885845184326,0.148324653506279,
raydium,2025-01-08,,1.154170036315918,0.14938589930534363,
raydium,2025-01-09,,1.2076969146728516,0.16127511858940125,
raydium,2025-01-10,,1.1388962268829346,0.1596089005470276,
raydium,2025-01-11,,1.1924947500228882,0.1583172082901001,
raydium,2025-01-12,,1.1208027601242065,0.16147728264331818,
raydium,2025-01-13,,1.10787832736969,0.16598984599113464,
raydium,2025-01-14,,1.2031500339508057,0.20524270832538605,
raydium,2025-01-15,,1.1930720806121826,0.25190070271492004,
raydium,2025-01-16,,1.186941146850586,0.25706493854522705,
raydium,2025-01-17,,1.2397644519805908,0.2566985785961151,
raydium,2025-01-18,,1.289541482925415,0.23131519556045532,
raydium,2025-01-19,,1.1855281591415405,0.22220157086849213,
raydium,2025-01-20,,1.1514536142349243,0.2299269288778305,
raydium,2025-01-21,,1.15915048122406,0.24809688329696655,
raydium,2025-01-22,,1.157206416130066,0.2388361543416977,
raydium,2025-01-23,,1.074212908744812,0.23470871150493622,
raydium,2025-01-24,,1.115350365638733,0.23437222838401794,
raydium,2025-01-25,,1.0917333364486694,0.2223145216703415,
raydium,2025-01-26,,1.119093894958496,0.22691987454891205,
raydium,2025-01-27,,1.148625135421753,0.22354157269001007,
raydium,2025-01-28,,1.233752727508545,0.2312043309211731,
raydium,2025-01-29,,1.2917948961257935,0.24432170391082764,
raydium,2025-01-30,,1.3276500701904297,0.24529193341732025,
raydium,2025-01-31,,1.2398021221160889,0.23024864494800568,
raydium,2025-02-01,,1.1166805028915405,0.22891587018966675,
raydium,2025-02-02,,1.1255037784576416,0.24167966842651367,
raydium,2025-02-03,,1.0699185132980347,0.24593274295330048,
raydium,2025-02-04,,1.04716956615448,0.25160956382751465,
raydium,2025-02-05,,1.0251654386520386,0.25828543305397034,
raydium,2025-02-06,,1.0446019172668457,0.25117915868759155,
raydium,2025-02-07,,1.049757719039917,0.3015613853931427,
raydium,2025-02-08,,1.0815027952194214,0.3020927608013153,
raydium,2025-02-09,,1.1130385398864746,0.2785915732383728,
raydium,2025-02-10,,1.1702792644500732,0.2580530047416687,
raydium,2025-02-11,,1.1241036653518677,0.26394587755203247,
raydium,2025-02-12,,1.0830532312393188,0.2706173360347748,
raydium,2025-02-13,,1.0926254987716675,0.2690246105194092,
raydium,2025-02-14,,1.0847108364105225,0.27120745182037354,
raydium,2025-02-15,,1.0805779695510864,0.29000112414360046,
raydium,2025-02-16,,1.0607380867004395,0.29587340354919434,
raydium,2025-02-17,,1.0296401977539062,0.2860069274902344,
raydium,2025-02-18,,1.0623223781585693,0.29686984419822693,
raydium,2025-02-19,,1.1023861169815063,0.3021642863750458,
raydium,2025-02-20,,1.061375379562378,0.3183915615081787,
raydium,2025-02-21,,1.0014158487319946,0.3043375611305237,
raydium,2025-02-22,,0.9512078166007996,0.2873246371746063,
raydium,2025-02-23,,0.896494448184967,0.29093268513679504,
raydium,2025-02-24,,0.9766381978988647,0.29619985818862915,
raydium,2025-02-25,,0.956959068775177,0.2871221601963043,
raydium,2025-02-26,,0.9565865397453308,0.28267091512680054,
raydium,2025-02-27,,0.988076388835907,0.281615674495697,
